Time;alcohol;chlorides;citric acid;density;fixed acidity;free sulfur dioxide;pH;quality;residual sugar;sulphates;total sulfur dioxide;volatile acidity
315;11;0,096;0,29;0,9962;7,1;20;3,42;6;2,5;0,65;53;0,35
316;10,1;0,102;0,23;0,9996;9,6;37;3,3;5;3,4;0,65;92;0,56
317;10,4;0,082;0,12;0,99865;9,6;30;3,3;6;2,9;0,64;74;0,77
318;11,5;0,083;0,39;0,9989;9,8;21;3,37;7;3,2;0,71;59;0,66
319;10,4;0,082;0,12;0,99865;9,6;30;3,3;6;2,9;0,64;74;0,77
320;11,5;0,083;0,39;0,9989;9,8;21;3,37;7;3,2;0,71;59;0,66
321;9,7;0,09;0,26;0,99975;9,3;25;3,24;5;3,4;0,62;87;0,61
322;9,3;0,079;0,05;0,99735;7,8;6;3,29;5;2,3;0,63;18;0,62
323;9,5;0,09;0,42;0,999;10,3;35;3,28;6;2,8;0,7;73;0,59
324;9,2;0,071;0,2;1,0015;10;13;3,16;6;11;0,69;50;0,49
325;9,2;0,071;0,2;1,0015;10;13;3,16;6;11;0,69;50;0,49
326;11,5;0,121;0,66;0,9978;11,6;6;3,05;7;3,65;0,74;14;0,53
327;11,5;0,107;0,5;0,998;10,3;5;3,28;5;4,5;0,83;13;0,44
328;9,7;0,082;0,62;1,0002;13,4;6;3,16;6;2,6;0,67;21;0,27
329;9,5;0,061;0,39;0,9981;10,7;7;3,18;5;2;0,62;15;0,46
330;12,5;0,122;0,64;0,998;10,2;10;3,23;6;2,9;0,66;41;0,36
331;12,5;0,122;0,64;0,998;10,2;10;3,23;6;2,9;0,66;41;0,36
332;9,4;0,066;0,28;0,9973;8;21;3,22;6;3,2;0,54;114;0,58
333;11;0,105;0,08;0,9958;8,4;16;3,13;5;2,1;0,52;44;0,56
334;11,7;0,078;0,01;0,9963;7,9;17;3,34;7;2,5;0,74;38;0,65
335;12,2;0,128;0,53;0,9992;11,9;7;3,17;7;3,4;0,84;21;0,695
336;12,5;0,052;0,45;0,9948;8,9;6;3,35;6;1,9;0,7;16;0,43
337;10,3;0,08;0,32;0,9974;7,8;29;3,31;5;2,8;0,64;58;0,43
338;11,5;0,103;0,58;1,0008;12,4;28;3,16;6;3;1;99;0,49
339;9,8;0,082;0,54;0,9997;12,5;12;3,11;7;2,3;1,36;29;0,28
340;9,2;0,066;0,5;1;12,2;10;3,12;6;2,4;1,18;21;0,34
341;11,3;0,065;0,48;0,9972;10,6;5;3,21;6;2,7;0,87;18;0,42
342;9,8;0,118;0,47;0,9982;10,9;6;3,3;6;1,8;0,75;14;0,39
343;9,8;0,118;0,47;0,9982;10,9;6;3,3;6;1,8;0,75;14;0,39
344;10,7;0,082;0,5;1,0006;11,9;6;3,12;6;2,6;0,78;32;0,57
345;9,9;0,067;0;0,9979;7;40;3,6;5;1,9;0,81;63;0,685
346;12,3;0,072;0,02;0,9955;6,6;17;3,58;7;2,7;0,89;34;0,815
347;12;0,093;0,67;0,9986;13,8;6;3,02;6;3;0,93;15;0,49
348;10;0,089;0,31;0,9979;9,6;15;3,11;6;2,8;0,92;46;0,56
349;9,4;0,093;0;0,9994;9,1;11;3,36;6;2,6;0,86;28;0,785
350;9,9;0,107;0,22;1,0004;10,7;17;3,28;6;2,7;0,98;34;0,67
351;9,4;0,096;0;0,9994;9,1;11;3,35;6;2,6;0,83;26;0,795
352;9,3;0,09;0;0,9974;7,7;8;3,27;5;2,4;0,73;19;0,665
353;13;0,12;0,79;1,0018;13,5;23;3,18;5;4,8;0,77;77;0,53
354;11,9;0,066;0,4;0,9912;6,1;40,5;3,25;6;1,4;0,59;165;0,21
355;12,8;0,078;0,01;0,9955;6,7;17;3,55;6;2,4;0,61;32;0,75
356;11;0,08;0,52;1,0001;11,5;29;3,26;5;3;0,88;55;0,41
357;11,7;0,116;0,66;0,997;10,5;12;3,24;7;2,95;0,75;29;0,42
358;10,4;0,109;0,66;1;11,9;10;3,15;7;3,1;0,85;23;0,43
359;9,8;0,088;0,66;1,001;12,6;10;3,17;6;2,6;0,68;41;0,38
360;9,4;0,099;0,23;0,9973;8,2;14;3,19;5;2;0,7;81;0,7
361;9,9;0,086;0,31;0,9982;8,6;21;3,37;6;2,6;0,91;50;0,45
362;10;0,072;0,66;0,9992;11,9;6;3,05;5;2,5;0,56;37;0,58
363;10,2;0,071;0,63;0,9988;12,5;6;2,99;5;2;0,87;15;0,46
364;10;0,083;0,66;1,0022;12,8;7;3,07;7;5,8;0,73;42;0,615
365;11,8;0,107;0,5;0,9979;10;7;3,26;6;3,4;0,93;21;0,42
366;10;0,083;0,66;1,0022;12,8;7;3,07;7;5,8;0,73;42;0,615
367;9;0,076;0,61;1;10,4;11;3,16;5;2,6;0,69;24;0,575
368;9,4;0,159;0,52;0,9998;10,3;15;3,18;5;2,8;0,64;75;0,34
369;12;0,074;0,53;0,9962;9,4;6;3,2;7;2,4;1,13;18;0,27
370;9,9;0,063;0,02;0,9975;6,9;35;3,57;5;2,3;0,78;63;0,765
371;8,7;0,056;0,4;0,9967;7,9;11;3,32;6;1,6;0,87;25;0,24
372;10,6;0,067;0,48;0,9967;9,1;26;3,32;6;1,8;1,04;46;0,28
373;9,2;0,106;0,22;0,9959;7,4;12;3,05;5;2,2;0,63;72;0,55
374;10,8;0,089;0,63;1,0014;14;6;3,01;6;3,8;0,81;47;0,41
375;11,8;0,124;0,71;0,9984;11,5;6;3,01;7;4,4;0,83;15;0,54
376;11;0,078;0,5;1,0003;11,5;19;3,26;6;3;1,11;47;0,45
377;12;0,074;0,53;0,9962;9,4;6;3,2;7;2,4;1,13;18;0,27
378;13,3;0,088;0,66;0,9988;11,4;6;3,11;6;6,2;0,99;24;0,625
379;10,8;0,094;0,38;0,9979;8,3;24;3,31;6;2,5;0,7;60;0,42
380;9,4;0,08;0,42;0,9974;8,3;11;3,21;6;2;0,8;27;0,26
381;10;0,085;0,68;1,0014;13,7;17;3,06;6;2,9;0,8;43;0,415
382;9,4;0,08;0,42;0,9974;8,3;11;3,21;6;2;0,8;27;0,26
383;9,4;0,08;0,42;0,9974;8,3;11;3,21;6;2;0,8;27;0,26
384;9,2;0,087;0,28;0,998;7,7;23;3,42;5;2,1;0,74;54;0,51
385;9,7;0,09;0,07;0,9979;7,4;11;3,43;6;2,4;0,76;37;0,63
386;9,2;0,088;0,26;0,9981;7,8;23;3,41;6;2;0,74;48;0,54
387;9,6;0,079;0,15;0,9972;8,3;17;3,31;6;1,9;0,54;42;0,66
388;9,2;0,088;0,26;0,9981;7,8;23;3,43;6;1,9;0,74;53;0,46
389;10;0,096;0,31;0,9982;9,6;16;3,19;7;2,5;0,7;49;0,38
390;12,9;0,045;0,05;0,9924;5,6;12;3,56;8;1,4;0,82;88;0,85
391;10;0,085;0,68;1,0014;13,7;17;3,06;6;2,9;0,8;43;0,415
392;9,5;0,082;0,52;0,998;9,5;6;3,18;5;2;0,51;26;0,37
393;9,1;0,112;0,61;0,997;8,4;13;3,16;5;2;0,54;95;0,665
394;9,9;0,063;0,65;0,9997;12,7;6;3,03;5;2,3;0,57;25;0,6
395;13;0,066;0,76;1,0004;12;7;3,22;7;4,2;0,6;38;0,37
396;9,9;0,122;0,02;0,9994;6,6;68;3,47;5;7,9;0,53;124;0,735
397;11;0,087;0,59;0,9988;11,5;13;3,18;6;2,6;0,65;49;0,59
398;11;0,087;0,59;0,9988;11,5;13;3,18;6;2,6;0,65;49;0,59
399;9,4;0,064;0,22;0,9963;8,7;9;3,1;5;2,3;0,55;42;0,765
400;9,9;0,122;0,02;0,9994;6,6;68;3,47;5;7,9;0,53;124;0,735
401;10,8;0,059;0,3;0,9949;7,7;20;3,29;6;1,7;0,47;38;0,26
402;10,5;0,085;0,54;1;12,2;19;3,1;6;2,6;0,61;64;0,48
403;10,5;0,085;0,49;0,9994;11,4;10;3,15;6;2,7;0,63;41;0,6
404;9,1;0,075;0,05;0,9974;7,7;15;3,26;5;2,7;0,61;27;0,69
405;10,1;0,059;0,46;0,9966;8,7;11;3,36;6;1,4;0,76;25;0,31
406;10,8;0,063;0,47;0,9981;9,8;9;3,24;6;2,5;0,65;28;0,44
407;10,8;0,093;0,66;0,9996;12;12;3,18;7;3;0,63;30;0,39
408;11,3;0,174;0,58;0,997;10,4;6;3,19;6;3,7;0,7;16;0,34
409;9,6;0,07;0,49;0,9981;12,5;26;3,05;4;4,5;0,57;49;0,46
410;9,5;0,08;0,34;0,9987;9;26;3,38;6;2,5;0,62;86;0,43
411;9,5;0,08;0,35;0,9987;9,1;23;3,38;5;2,4;0,62;78;0,45
412;9,3;0,1;0,16;0,9966;7,1;15;3,27;5;1,9;0,64;77;0,735
413;11,7;0,097;0,53;0,9986;9,9;6;3,27;7;6,7;0,82;19;0,4
414;9,5;0,087;0,34;0,9982;8,8;24;3,26;5;2,7;0,61;122;0,52
415;9,3;0,117;0,24;1,0014;8,6;31;3,32;5;6,6;1,07;134;0,725
416;11,7;0,111;0,64;0,997;10,6;6;3,26;6;2,2;0,66;20;0,48
417;10,5;0,091;0,12;0,9956;7;34;3,44;5;1,9;0,48;124;0,58
418;10,4;0,121;0,51;0,9996;11,9;7;3,24;6;2;0,76;20;0,38
419;9,9;0,066;0;0,9976;6,8;34;3,62;5;1,8;0,68;52;0,77
420;11,8;0,089;0,33;0,9972;9,5;35;3,28;7;2,4;0,73;67;0,56
421;12,3;0,059;0,03;0,9952;6,6;32;3,52;7;2,3;0,56;48;0,84
422;10,9;0,047;0,2;0,9955;7,7;15;3,36;5;2;0,44;60;0,96
423;11;0,066;0,47;0,9978;10,5;6;3,15;7;2,1;0,9;24;0,24
424;10,9;0,047;0,2;0,9955;7,7;15;3,36;5;2;0,44;60;0,96
425;12,3;0,059;0,03;0,9952;6,6;32;3,52;7;2,3;0,56;48;0,84
426;11,4;0,045;0,08;0,9949;6,4;19;3,49;6;2,1;0,49;48;0,67
427;10,6;0,077;0,22;0,9988;9,5;6;3,26;6;1,9;0,56;32;0,78
428;9,3;0,07;0,33;0,9978;9,1;9;3,24;5;1,3;0,6;30;0,52
429;10,4;0,088;0,63;0,9997;12,8;13;3,1;6;2,4;0,6;35;0,84
430;11;0,066;0,47;0,9978;10,5;6;3,15;7;2,1;0,9;24;0,24
431;9,2;0,074;0,35;0,9974;7,8;21;3,25;5;2,2;0,56;66;0,55
432;12,8;0,078;0,69;0,9958;11,9;12;3;6;2,3;0,65;24;0,37
433;9,5;0,091;0,63;1,0004;12,3;6;3,16;5;2,3;0,49;18;0,39
434;9,9;0,076;0,55;0,9996;10,4;22;3,15;6;3,2;0,89;54;0,41
435;9,5;0,091;0,63;1,0004;12,3;6;3,16;5;2,3;0,49;18;0,39
436;10,2;0,06;0,3;0,9958;8;38;3,26;6;2;0,56;62;0,67
437;11,2;0,066;0,73;0,9986;11,1;6;3,17;6;3,2;0,66;22;0,45
438;9,9;0,076;0,55;0,9996;10,4;22;3,15;6;3,2;0,89;54;0,41
439;9,3;0,062;0,18;0,9951;7;7;3,08;5;1,5;0,6;50;0,62
440;9,8;0,072;0,72;0,9987;12,6;6;2,88;8;2,2;0,82;29;0,31
441;11,3;0,068;0,65;0,9988;11,9;7;3,06;6;2,15;0,68;27;0,4
442;11,2;0,1;0,76;1,0032;15,6;6;2,95;7;3,7;0,68;43;0,685
443;11,6;0,077;0,49;0,9963;10;11;3,23;7;2,7;0,63;19;0,44
444;12,5;0,054;0,01;0,9934;5,3;5;3,57;7;1,7;0,84;27;0,57
445;10,1;0,079;0,1;0,9986;9,5;6;3,23;6;2,1;0,56;31;0,735
446;10,5;0,081;0,6;0,9996;12,5;31;3,1;5;2,6;0,73;72;0,38
447;11,2;0,127;0,29;0,9968;9,3;6;3,22;5;2,1;0,72;16;0,48
448;10,2;0,1;0,22;0,9967;8,6;7;3,2;6;2;0,56;27;0,53
449;10,8;0,095;0,69;0,9994;11,9;17;3,1;6;2,8;0,61;35;0,39
450;10,8;0,095;0,69;0,9994;11,9;17;3,1;6;2,8;0,61;35;0,39
451;9,1;0,413;0,53;0,9979;8,4;9;3,06;6;1,8;1,06;26;0,37
452;10;0,084;0,03;0,9968;6,8;18;3,44;6;1,7;0,63;35;0,56
453;11,2;0,084;0,63;0,9998;10,4;5;3,26;7;2,8;0,74;22;0,33
454;11,1;0,063;0,4;0,9952;7;21;3,5;5;1,6;0,63;67;0,23
455;13,4;0,086;0,67;0,9988;11,3;6;3,22;8;5,2;0,69;19;0,62
456;10,3;0,095;0,39;0,9986;8,9;5;3,37;5;2,3;0,58;22;0,59
457;9,6;0,097;0,21;0,9988;9,2;29;3,28;5;2,7;0,58;65;0,63
458;11,2;0,084;0,63;0,9998;10,4;5;3,26;7;2,8;0,74;22;0,33
459;9;0,074;0,66;1,0008;11,6;10;3,25;3;2,2;0,57;47;0,58
460;11,3;0,083;0,52;0,9976;9,2;14;3,35;6;2,3;0,61;23;0,43
461;9,3;0,087;0,22;0,9982;8,3;6;3,26;5;2,6;0,61;19;0,615
462;11,8;0,085;0,68;0,997;11;10;3,18;5;2,55;0,61;25;0,26
463;9;0,098;0,7;0,9972;8,1;25;3,08;5;2,2;0,53;129;0,66
464;9,2;0,084;0,54;0,9987;11,5;5;2,98;6;2,1;0,7;15;0,315
465;9,7;0,098;0,4;1,0006;10;10;3,48;5;2,9;0,91;26;0,29
466;11,5;0,069;0,42;0,9982;10,3;21;3,16;6;2;0,72;51;0,5
467;14;0,065;0,45;0,9947;8,8;7;3,32;6;2,6;0,79;18;0,46
468;9,2;0,09;0,69;1;11,4;6;3,17;6;2,1;0,62;21;0,36
469;9,8;0,07;0,02;0,9952;8,7;36;3,2;5;1,2;0,58;48;0,82
470;10,6;0,093;0,65;0,9996;13;15;3,05;5;2,6;0,61;47;0,32
471;11,4;0,081;0,42;0,997;9,6;25;3,2;6;2,4;0,71;52;0,54
472;10,4;0,083;0,55;0,9995;12,5;25;3,15;6;2,6;0,82;68;0,37
473;10,6;0,062;0,55;0,9971;9,9;5;3,26;5;2,1;0,79;14;0,35
474;9,4;0,08;0,51;0,9982;10,5;10;3,2;6;1,7;0,89;24;0,28
475;10,2;0,087;0,24;0,9988;9,6;5;3,14;5;2,2;0,6;28;0,68
476;9,7;0,091;0,41;0,998;9,3;6;3,28;5;2;0,7;16;0,27
477;11;0,075;0,49;0,9977;10,4;6;3,18;6;1,8;1,06;20;0,24
478;10,2;0,087;0,24;0,9988;9,6;5;3,14;5;2,2;0,6;28;0,68
479;10,1;0,077;0,11;0,9984;9,4;6;3,19;6;2,7;0,7;31;0,685
480;9,2;0,069;0,39;1,0026;10,6;6;3,12;5;15,5;0,66;23;0,28
481;11,7;0,08;0,56;0,9964;9,4;6;3,15;8;2,8;0,92;17;0,3
482;9,4;0,152;0,59;0,9986;10,6;6;3,04;5;2,2;1,05;18;0,36
483;9,4;0,152;0,6;0,9986;10,6;7;3,04;5;2,2;1,06;18;0,36
484;13,4;0,114;0,68;0,997;10,6;6;3,06;6;4,1;0,66;24;0,44
485;10;0,054;0,39;0,9976;10,2;6;3,17;5;1,9;0,47;17;0,67
486;10;0,054;0,39;0,9976;10,2;6;3,17;5;1,9;0,47;17;0,67
487;10;0,053;0,36;0,9982;10,2;5;3,17;6;1,8;0,42;14;0,645
488;10,8;0,081;0,55;1,0002;11,6;35;3,32;7;2,8;0,92;67;0,32
489;10,2;0,073;0,4;0,9984;9,3;10;3,34;6;2,6;0,75;26;0,39
490;10,6;0,078;0,27;0,9984;9,3;24;3,31;6;2,8;0,67;56;0,775
491;13,3;0,055;0,5;0,9952;9,2;12;3,34;7;2,5;0,79;25;0,41
492;13,4;0,052;0,51;0,995;8,9;13;3,32;7;2,6;0,9;27;0,4
493;11,6;0,086;0,31;1,0002;8,7;23;3,48;6;3;0,74;81;0,69
494;12,1;0,051;0,23;0,9952;6,5;28;3,44;6;8,3;0,55;91;0,39
495;11;0,07;0,53;0,9972;10,7;5;3,15;8;2,6;0,65;16;0,35
496;9;0,081;0,25;0,9984;7,8;14;3,43;6;1,9;0,65;38;0,52
497;11,1;0,09;0,32;0,9966;7,2;43;3,32;5;2,5;0,79;113;0,34
498;11;0,07;0,53;0,9972;10,7;5;3,15;8;2,6;0,65;16;0,35
499;11,6;0,086;0,31;1,0002;8,7;23;3,48;6;3;0,74;81;0,69
500;9;0,081;0,25;0,9984;7,8;14;3,43;6;1,9;0,65;38;0,52
501;12;0,074;0,73;0,999;10,4;38;3,17;7;6,55;0,85;76;0,44
502;12;0,074;0,73;0,999;10,4;38;3,17;7;6,55;0,85;76;0,44
503;10,9;0,078;0,47;0,9976;10,5;6;3,18;7;1,9;1,04;24;0,26
504;10,8;0,077;0,42;0,9976;10,5;6;3,21;7;1,8;1,05;22;0,24
505;12,5;0,072;0,63;0,9968;10,2;10;3,16;7;2,9;0,78;26;0,49
506;10,8;0,075;0,46;0,9976;10,4;6;3,25;7;1,8;1,02;21;0,24
507;9,5;0,084;0,55;1;11,2;6;3,17;6;2,3;0,71;13;0,67
508;10,2;0,09;0,31;0,9994;10;26;3,18;6;2,2;0,63;62;0,59
509;11,4;0,084;0,75;0,9986;13,3;23;3,04;7;2,8;0,68;43;0,29
510;9,5;0,073;0,49;0,9978;12,4;19;3,02;5;4,6;0,61;43;0,42
511;10,2;0,09;0,31;0,9994;10;26;3,18;6;2,2;0,63;62;0,59
512;9,7;0,125;0,48;0,998;10,7;15;3,03;6;2,1;0,81;49;0,4
513;11,8;0,107;0,64;0,9973;10,5;6;3,09;7;2,4;0,66;15;0,51
514;11,8;0,107;0,64;0,9973;10,5;6;3,09;7;2,4;0,66;15;0,51
515;9,3;0,122;0,49;1,001;8,5;34;3,31;5;6,1;1,14;151;0,655
516;11,9;0,1;0,49;1,001;12,5;5;3,25;6;4,3;0,74;14;0,6
517;8,4;0,2;0,49;0,9994;10,4;5;3,16;3;2,1;0,63;16;0,61
518;11,7;0,088;0,49;0,9972;10,9;11;3,22;6;2,8;0,68;32;0,21
519;11;0,088;0,49;0,9966;7,3;39;3,36;5;2,5;0,78;106;0,365
520;10;0,088;0,49;0,9982;9,8;15;3,42;6;2,7;0,9;33;0,25
521;9,1;0,088;0,49;0,998;7,6;16;3,48;5;2;0,64;43;0,41
522;9,8;0,099;0,49;0,9979;8,2;47;3,38;5;2,3;0,99;133;0,39
523;9,4;0,085;0,49;0,9978;9,3;38;3,22;5;2,5;0,55;142;0,4
524;9,5;0,086;0,49;0,9976;9,2;23;3,23;5;2,4;0,64;116;0,43
525;9,9;0,105;0,24;0,9998;10,4;29;3,24;5;2,8;0,67;53;0,64
526;11;0,088;0,49;0,9966;7,3;39;3,36;5;2,5;0,78;106;0,365
527;11,4;0,097;0,49;0,9962;7;33;3,39;6;2,5;0,77;85;0,38
528;8,7;0,084;0,49;0,9988;8,2;32;3,34;6;2,6;0,75;55;0,42
529;9,4;0,077;0,24;0,9974;9,9;6;3,09;5;2,4;0,57;33;0,63
530;10,3;0,078;0,24;0,999;9,1;1;3,41;6;2,1;0,87;28;0,22
531;10,3;0,098;0,49;1,0004;11,9;12;3,16;5;2,7;0,61;42;0,38
532;10,3;0,098;0,49;1,0004;11,9;12;3,16;5;2,7;0,61;42;0,38
533;12,8;0,072;0,24;0,9956;10,3;15;3,22;6;2,1;0,66;33;0,27
534;10;0,102;0,24;1;10;13;3,28;6;2,7;0,56;32;0,48
535;10,3;0,078;0,24;0,999;9,1;1;3,41;6;2,1;0,87;28;0,22
536;9,4;0,077;0,24;0,9974;9,9;6;3,09;5;2,4;0,57;33;0,63
537;10,7;0,084;0,24;0,9972;8,1;5;3,37;6;2,1;0,77;13;0,825
538;12;0,066;0,49;1,0014;12,9;5;3,2;7;5,8;0,66;35;0,35
539;11,2;0,1;0,74;0,9996;11,2;5;3,22;5;5,15;0,62;17;0,5
540;9,6;0,101;0,24;0,9988;9,2;20;3,26;5;3,3;0,67;47;0,59
541;11;0,064;0,49;0,9988;9,5;5;3,21;6;6,3;0,73;17;0,46
542;9,9;0,07;0,24;0,9966;9,3;5;3,12;5;2,1;0,59;20;0,715
543;11;0,085;0,24;0,9993;11,2;16;3,06;6;2,5;0,72;53;0,66
544;8,4;0,075;0,74;1,0008;14,3;6;2,86;6;1,8;0,79;15;0,31
545;9,1;0,094;0,49;0,9982;9,1;38;3,08;5;2,6;0,59;106;0,47
546;9,5;0,078;0,24;0,9983;7,5;10;3,45;6;2;0,78;28;0,55
547;10,7;0,067;0,49;0,9987;10,6;6;3,26;6;2,5;0,86;21;0,31
548;10,4;0,079;0,49;0,9994;12,4;27;3,12;6;2,6;0,75;69;0,35
549;9,4;0,171;0,49;0,9975;9;6;3,27;6;1,9;0,61;25;0,53
550;9,5;0,074;0,01;0,9958;6,8;9;3,33;6;2,1;0,56;25;0,51
551;10;0,092;0,24;0,998;9,4;14;3,19;6;2,8;0,73;45;0,43
552;10;0,092;0,24;0,998;9,5;14;3,12;6;2,7;0,74;44;0,46
553;11,5;0,05;0,24;0,9934;5;32;3,74;5;1,6;0,62;96;1,04
554;11,1;0,095;0,49;1,00315;15,5;10;2,92;5;4,2;0,74;23;0,645
555;11,1;0,095;0,49;1,00315;15,5;10;2,92;5;4,2;0,74;23;0,645
556;11,7;0,118;0,49;1,0002;10,9;10;3,07;6;4,6;0,56;17;0,53
557;11,1;0,095;0,49;1,00315;15,6;10;2,92;5;4,2;0,74;23;0,645
558;11,7;0,118;0,49;1,0002;10,9;10;3,07;6;4,6;0,56;17;0,53
559;12,7;0,085;0,49;1,0021;13;6;3,3;6;4,3;0,68;47;0,47
560;11,4;0,075;0,49;0,9994;12,7;5;3,14;5;2,8;0,57;19;0,6
561;9,2;0,078;0,49;0,9978;9;26;3,23;5;2,4;0,58;121;0,44
562;9,2;0,094;0,49;0,9982;9;41;3,08;5;2,9;0,61;110;0,54
563;10,1;0,092;0,49;0,9971;7,6;25;3,31;6;2,7;0,61;60;0,29
564;12,7;0,085;0,49;1,0021;13;6;3,3;6;4,3;0,68;47;0,47
565;11,4;0,075;0,49;0,9994;12,7;5;3,14;5;2,8;0,57;19;0,6
566;9;0,226;0,24;0,9991;8,7;5;3,32;6;2,5;0,6;15;0,7
567;9;0,226;0,24;0,9991;8,7;5;3,32;6;2,5;0,6;15;0,7
568;10,7;0,25;0,49;0,999;9,8;5;3,31;6;2,6;0,79;20;0,5
569;11,7;0,095;0,24;0,9946;6,2;19;3,57;6;2,2;0,57;42;0,36
570;11;0,07;0,49;1,0003;11,5;10;3,32;6;3,3;0,91;37;0,35
571;11,7;0,095;0,24;0,9946;6,2;19;3,57;6;2,2;0,57;42;0,36
572;10,4;0,075;0,49;0,9978;10,2;10;3,14;5;2,4;0,61;28;0,24
573;9,6;0,07;0,49;0,9991;10,5;14;3,3;4;2,1;0,56;47;0,59
574;10;0,078;0,49;0,9992;10,6;20;3,19;6;3,2;0,7;78;0,34
575;10,2;0,079;0,49;0,9993;12,3;28;3,2;6;3,1;0,8;46;0,27
576;10;0,103;0,24;0,9978;9,9;6;3,34;4;2,3;0,52;14;0,5
577;9,5;0,083;0,49;0,9982;8,8;18;3,3;5;2,8;0,6;111;0,44
578;9,8;0,085;0,49;0,9982;8,8;17;3,29;5;2,9;0,6;110;0,47
579;9,8;0,063;0,49;0,9976;10,6;18;3,14;6;2,2;0,51;40;0,31
580;9,6;0,089;0,49;1,0002;12,3;5;3,19;5;2,2;0,44;14;0,5
581;9,6;0,089;0,49;1,0002;12,3;5;3,19;5;2,2;0,44;14;0,5
582;9,2;0,083;0,49;1;11,7;5;3,19;5;2,2;0,43;15;0,49
583;9,9;0,074;0,49;0,9976;12;10;2,98;7;1,9;0,66;21;0,28
584;10,7;0,093;0,49;1,0002;11,8;54;3,3;7;3,4;0,76;80;0,33
585;9,6;0,091;0,24;0,998;7,6;8;3,47;6;2,4;0,66;38;0,51
586;10,6;0,094;0,49;0,9986;11,1;16;3,12;7;2,7;1,02;47;0,31
587;9,3;0,108;0,24;0,9967;7,3;18;3,26;5;1,9;0,59;102;0,73
588;14;0,06;0,24;0,9917;5;19;3,72;8;2;0,74;50;0,42
589;10,5;0,059;0,49;0,9976;10,2;5;3,05;7;2,6;0,74;13;0,29
590;9,7;0,084;0,49;0,9987;9;21;3,35;5;2,6;0,57;75;0,45
591;11,5;0,07;0,49;0,9922;6,6;23;3,12;6;1,7;0,5;149;0,39
592;9,7;0,084;0,49;0,9987;9;21;3,35;5;2,6;0,57;75;0,45
593;9;0,094;0,58;1,0004;9,9;9;3,29;5;3,5;0,58;43;0,49
594;9,5;0,096;0,17;0,9978;7,9;20;3,4;5;2,6;0,53;38;0,72
595;9,3;0,086;0,41;0,9998;8,9;30;3,27;5;7,9;0,57;109;0,595
596;9,3;0,059;0,51;0,9994;12,4;6;3,04;6;2;0,6;24;0,4
597;10;0,071;0,58;0,998;11,9;5;3,09;6;1,9;0,63;18;0,58
598;9,8;0,078;0,18;0,9967;8,5;5;3,2;6;2,1;0,48;30;0,585
599;9,3;0,082;0,45;1;12,7;11;3;6;2,3;0,7;22;0,59
600;15;0,088;0,27;0,9962;8,2;7;3,26;4;2,1;0,07;25,3;0,915
601;12;0,071;0,52;1,0006;13,2;12;3,1;6;2,2;0,46;-66,5;0,46
602;17,3;0,081;0;0,9975;7,7;6;3,3;5;2,6;0;-26,6;0,835
603;16;0,071;0,52;1,0006;13,2;12;3,1;6;2,2;0,16;3,5;0,46
604;13,1;0,096;0,13;0,9984;8,3;14;3,17;6;2,9;0,32;-56,7;0,58
605;12,2;0,085;0,13;0,9984;8,3;6;3,31;6;2,6;0,19;-45,6;0,6
606;15,2;0,072;0,48;0,9973;9,4;10;3,34;7;4,6;0,39;-18;0,41
607;14,5;0,092;0,41;0,9982;8,8;26;3,31;6;3,3;0;-98,8;0,48
608;19,4;0,11;0,37;1,0026;10,1;11;3,32;6;5,1;0,24;-123,5;0,65
609;15,7;0,075;0,19;0,9956;6,3;15;3,56;6;3,2;0;3,9;0,36
610;10,2;0,083;0,54;0,9983;8,8;25;3,39;5;2,5;0,24;-108,3;0,24
611;13,4;0,081;0,55;1,0006;13,2;5;2,98;5;2,7;0;1,6;0,38
612;14;0,077;0;0,9965;7,5;18;3,32;6;2,4;0,3;-26,1;0,64
613;14,8;0,058;0,38;0,9962;8,2;10;3,26;5;1,5;0,54;31,9;0,39
614;17,2;0,148;0,18;0,9969;9,2;10;2,87;6;2,2;0,76;-92,7;0,755
615;18,7;0,079;0,5;0,9997;9,6;28;3,5;5;2,3;0,27;7,1;0,6
616;17,7;0,079;0,5;0,9997;9,6;28;3,5;5;2,3;0,07;78,1;0,6
617;11,8;0,079;0,51;0,9982;11,5;14;3,03;6;2,2;0,33;-25,2;0,31
618;11,2;0,122;0,5;1,0006;11,4;4;3,13;5;2,7;0,1;18,7;0,46
619;12,3;0,088;0,41;0,9988;11,3;6;3,09;5;2,3;0,1;-30,4;0,37
620;18,4;0,076;0,24;0,9976;8,3;16;3,27;5;3,4;0;-212,8;0,54
621;12,4;0,078;0,23;0,9976;8,2;14;3,28;5;3,4;0;-197,6;0,56
622;11,5;0,08;0,22;0,9974;10;9;3,13;5;1,9;0,35;-28,8;0,58
623;18,1;0,077;0,25;0,9974;7,9;21;3,49;6;2,9;0,76;-85,5;0,51
624;19,2;0,124;0;0,9997;6,8;21;3,46;5;5,6;0;-110,2;0,69
625;14,2;0,124;0;0,9997;6,8;21;3,46;5;5,6;0,62;-52,2;0,69
626;17,1;0,098;0,29;0,9988;8,8;5;3,36;5;2,2;0;1,5;0,6
627;13,1;0,098;0,29;0,9988;8,8;5;3,36;5;2,2;0;16,5;0,6
628;10,3;0,097;0,26;0,9976;8,7;7;3,27;6;2,5;0,4;-27,9;0,54
629;18,3;0,111;0,23;0,9964;7,6;20;3,21;5;2,3;0;8,4;0,685
